mun/UF,cód,total royalties (1999-2024),população (est 2024),população censo 2022,$ per capita,dependência 2023,"Mortalidade Ajustada por Causas Evitáveis (OMS, por 100.000 Hab.) (2023)",Taxa de mortalidade infantil por mil nascidos vivos (2023),pop sem água (2021),pop sem esgoto (2021),taxa de analfabetismo (censo 22),ideb iniciais municipal 2023,ideb finais municipal 2023,total cadunico (mar25)/pop IBGE 2024,pobreza cadunico (mar25)/pop IBGE 2024,estoque empregos caged fev/22/pop ibge 2024,gastos c/ educação p/ matrícula (2023),gastos c/ saúde per capita (2023),gastos c/ adm per capita (2023),gastos c/ infra social per capita (2023),pessoal p/ 1000 hab (pop DOU 2023/Censo 22),% sem vínculo permanente (2023)
Campos dos Goytacazes/RJ,330100,"R$ 37.758.646.692,79",519.011,483.540,"R$ 72.751,15","27,40%","146,50944","19,1658862",2%,"13,36%","4,94%","5,4","4,2","41,43%","25,66%","15,84%","R$ 10.415,69","R$ 2.210,20","  708,6 ","R$ 521,41","23,16664599","15,36%"
Rio das Ostras/RJ,330452,"R$ 11.763.751.707,64",168.099,156.491,"R$ 69.981,09","16,74%","106,90297","13,7400002","29,73%","73,44%","2,64%","6,1","4,9","37,87%","21,19%","18,86%","R$ 11.101,58","R$ 1.577,05","  809,2 ","R$ 903,84","48,27753673","3,06%"
Itapemirim/ES,320280,"R$ 3.905.715.795,18",43.362,39.832,"R$ 90.072,32","35,13%","97,69579","9,626321","12,68%","84,64%","7,94%",6,"4,8","60,64%","33,49%","15,23%","R$ 15.055,44","R$ 1.791,47","  2.228,6 ","R$ 817,81","81,61779474","42,82%"
Armação dos Búzios/RJ,330023,"R$ 3.332.475.957,29",42.442,40.006,"R$ 78.518,35","20,26%","132,41533","14,1784649","4,69%","21,83%","2,79%","5,5",4,"48,85%","23,01%","33,28%","R$ 16.242,83","R$ 4.061,07","  3.414,3 ","R$ 1.676,30","105,5591661","37,72%"
Casimiro de Abreu/RJ,330130,"R$ 3.840.467.644,41",48.563,46.110,"R$ 79.082,17","30,80%","83,73746","10,0100343",0%,"44,80%","4,43%","6,1","4,8","41,41%","20,73%","11,78%","R$ 16.606,84","R$ 2.172,32","  1.692,2 ","R$ 1.346,77","48,64454565","5,66%"
Silva Jardim/RJ,330560,"R$ 1.404.358.873,53",22.026,21.352,"R$ 63.759,14","39,39%","88,76109","17,7695261","13,39%","53,77%","9,56%",5,4,"56,66%","30,11%","14,76%","R$ 17.500,86","R$ 3.175,35","  2.163,0 ","R$ 554,27","86,31509929","11,77%"
Macaé/RJ,330240,"R$ 23.542.851.651,63",264.138,246.391,"R$ 89.130,88","30,83%","116,35813","13,6329425",0%,0%,"3,45%","5,8","4,6","34,74%","19,44%","53,13%","R$ 18.078,42","R$ 3.091,58","  856,6 ","R$ 2.007,16","63,23282912","15,56%"
São João da Barra/RJ,330500,"R$ 6.275.346.366,36",38.708,36.573,"R$ 162.120,14","38,78%","129,76556","14,3592494","21,66%","0,15%","5,69%","5,1","4,4","67,03%","35,74%","36,31%","R$ 19.836,96","R$ 5.674,36","  3.430,6 ","R$ 451,25","94,49593963","6,83%"
Arraial do Cabo/RJ,330025,"R$ 2.456.741.018,72",32.794,30.986,"R$ 74.914,34","61,11%","122,4223","14,3478626","2,17%","19,77%","3,18%",5,"4,8","56,14%","25,25%","19,85%","R$ 23.551,44","R$ 5.640,22","  3.766,6 ","R$ 1.275,15","146,2918737","56,41%"
Quissamã/RJ,330415,"R$ 5.016.401.798,31",23.126,22.393,"R$ 216.916,10","44,98%","94,81492","11,5783657","37,64%","2,88%","7,39%",6,"4,8","60,75%","25,75%","6,22%","R$ 26.249,67","R$ 5.240,57","  2.969,8 ","R$ 1.632,49","141,160184","20,94%"
Maricá/RJ,330270,"R$ 26.514.920.897,34",211.986,197.277,"R$ 125.078,64","47,94%","117,07797","13,1427897","42,03%","98,82%","2,66%","5,7","4,6","59,45%","19,96%","11,92%","R$ 31.106,23","R$ 4.659,37","  5.365,9 ","R$ 5.454,24","36,1978335","0,00%"
Ilhabela/SP,352040,"R$ 7.529.150.439,97",36.329,34.934,"R$ 207.249,04","48,87%","83,98799","13,9031892","25,13%","46,89%","3,28%","6,1","5,3","37,94%","14,02%","24,14%","R$ 32.013,37","R$ 5.989,63","  3.733,9 ","R$ 5.046,57","72,22190416","11,45%"
Saquarema/RJ,330550,"R$ 8.604.176.927,13",95.201,89.559,"R$ 90.379,06","65,55%","117,23039","12,6353356",0%,"26,52%","4,27%",6,"5,3","67,20%","29,11%","16,44%","R$ 45.220,06","R$ 3.916,73","  1.684,1 ","R$ 3.539,75","65,32006833","10,77%"
Presidente Kennedy/ES,320430,"R$ 5.706.031.313,48",14.647,13.696,"R$ 389.569,97","40,29%","154,95876","17,123415","75,38%","96,77%","12,63%","5,5","4,8","61,88%","25,64%","9,41%","R$ 45.553,24","R$ 5.457,52","R$ 8.469,05","R$ 8.718,46","151,4310748","58,73%"
Carapebus/RJ,330093,"R$ 1.830.235.466,47",14.325,13.847,"R$ 127.765,13",#N/A,"109,76998","10,6146699","76,01%","21,51%","6,29%","5,2","4,6","54,32%","27,59%","7,46%",#N/A,#N/A,#N/A,#N/A,"185,6719867","30,69%"