mun/UF,cód,$ per capita,municípios na UF,ób_ev_IEPS,mort infantil,pop sem água (2021),pop sem esgoto (2021),taxa de analfabetismo (censo 22),ideb iniciais municipal 2023,ideb finais municipal 2023,total cadunico (mar25)/pop IBGE 2024,pobreza cadunico (mar25)/pop IBGE 2024,estoque empregos caged fev/25/pop ibge 2024,,gastos c/ educação p/ matrícula (2023),gastos c/ saúde per capita (2023),gastos c/ adm per capita (2023),gastos c/ infra social per capita (2023),pessoal p/ 1000 hab (pop DOU 2023/Censo 22),% sem vínculo permanente (2023)
Presidente Kennedy/ES,320430,"R$ 389.569,97",78,73,66,76,70,69,75,47,62,58,55,,1,1,1,1,1,"58,73%"
Quissamã/RJ,330415,"R$ 216.916,10",92,12,15,77,8,70,20,29,85,58,85,,3,3,10,9,3,"20,94%"
Ilhabela/SP,352040,"R$ 207.249,04",645,183,368,514,568,100,461,146,344,369,242,,11,1,6,1,116,"11,45%"
São João da Barra/RJ,330500,"R$ 162.120,14",92,57,44,55,2,56,65,46,90,86,2,,7,1,4,55,18,"6,83%"
Carapebus/RJ,330093,"R$ 127.765,13",92,27,10,92,33,61,60,34,71,63,80,,#N/A,#N/A,#N/A,#N/A,1,"30,69%"
Maricá/RJ,330270,"R$ 125.078,64",92,39,25,81,68,8,34,36,82,26,55,,2,4,1,1,73,"0,00%"
Saquarema/RJ,330550,"R$ 90.379,06",92,40,24,1,39,35,22,7,91,68,39,,1,6,27,2,43,"10,77%"
Itapemirim/ES,320280,"R$ 90.072,32",78,44,7,17,64,36,55,45,60,73,32,,25,8,2,26,5,"42,82%"
Macaé/RJ,330240,"R$ 89.130,88",92,38,33,1,1,19,28,35,11,22,1,,10,14,50,5,45,"15,56%"
Casimiro de Abreu/RJ,330130,"R$ 79.082,17",92,4,8,1,48,37,12,25,24,30,56,,16,40,26,12,56,"5,66%"
Armação dos Búzios/RJ,330023,"R$ 78.518,35",92,59,39,29,34,9,46,60,51,42,4,,20,5,5,8,12,"37,72%"
Arraial do Cabo/RJ,330025,"R$ 74.914,34",92,46,43,17,29,14,66,24,75,54,25,,5,2,3,14,2,"56,41%"
Campos dos Goytacazes/RJ,330100,"R$ 72.751,15",92,77,81,16,21,47,49,50,25,56,44,,70,39,55,49,84,"15,36%"
Rio das Ostras/RJ,330452,"R$ 69.981,09",92,20,35,70,56,7,15,22,14,33,30,,60,59,51,22,59,"3,06%"
Silva Jardim/RJ,330560,"R$ 63.759,14",92,7,72,45,51,83,73,62,77,72,48,,11,12,16,45,25,"11,77%"